No.;Nama Tas;Harga;Kode;Warna;Ukuran;Jumlah
1;Joanna Gray;659,900.00;Y1886;Gray;45 cm x 45 cm;3 Pcs
2;Joanna Pine brown;659,900.00;Y1886;Pine Brown;45 cm x 45 cm;3 Pcs
3;Joanna Coffe;659,900.00;Y1886;Coffee;45 cm x 45 cm;1 Pcs
;;;;;;
4;Althea Brown;785,900.00;B2039;Brown;45 cm x 30 cm;3 Pcs
5;Althea Mustard green;785,900.00;B2039;Mustard Green;45 cm x 30 cm;3 Pcs
6;Althea Wine Red;785,900.00;B2039 ;Wine Red;45 cm x 30 cm;2 Pcs
7;Althea Silver Grey;785,900.00;B2039 ;Silver Grey;45 cm x 30 cm;2 Pcs
;;;;;;
8;Aksha Navy;655,900.00;B2564;Navy;25 cm x 30 cm x 50 cm;2 pcs
9;Aksha Black;655,900.00;B2564;Black;25 cm x 30 cm x 50 cm;2 pcs
10;Aksha Coffe;655,900.00;B2564;Coffe;25 cm x 30 cm x 50 cm;2 pcs
11;Aksha Lemon yellow;655,900.00;B2564;Lemon Yellow;25 cm x 30 cm x 50 cm;2 pcs
12;Aksha Silver grey;655,900.00;B2564;Silver Grey;25 cm x 30 cm x 50 cm (Tali Panjang);2 pcs
;;;;;;
13;Meena Grey;744,900.00;Y2834;Grey;40 cm x 50 cm x Tali Panjang;2 Pcs
14;Meena Chocolate;744,900.00;Y2834;Chocolate ;40 cm x 50 cm x Tali Panjang;2 Pcs
15;Meena Olive Green;744,900.00;Y2834;Olive Green;40 cm x 50 cm x Tali Panjang;1 Pcs
16;Meena Brown;744,900.00;Y2834;Brown;40 cm x 50 cm x Tali Panjang;3 Pcs
17;meena Black;744,900.00;Y2834;Black;40 cm x 50 cm x Tali Panjang;2 Pcs
;;;;;;
18;Nathania Camel;785,900.00;8400;Camel;38 cm x 35 cm;1 Pcs
19;Nathania Cappucino;785,900.00;8400;Cappuccino ;38 cm x 35 cm;1 Pcs
;;;;;;
20;Onella Camel;815,900.00;3505;Camel;45 cm x 40 cm;1 Pcs
21;Onella Apricot;815,900.00;3505;Apricot ;45 cm x 40 cm;1 Pcs
22;Onella Mung beans;815,900.00;3505;Mung Beans (Kacang Hijau);45 cm x 40 cm;1 Pcs
;;;;;;
23;Kalila Khaki;785,900.00;8401;Khaki;35 cm x 38 cm;1 Pcs
24;Kalila Zaitun;Barang rusak;8401;Zaitun;35 cm x 38 cm;1 Pcs
;;;;;;
25;Dariela Apricot;765,900.00;3502;Apricot;28 cm x 25 cm;2 Pcs
26;Dariela Wheat;765,900.00;3502;Wheat;28 cm x 25 cm;1 Pcs
;;;;;;
27;Hazel Black;374,900.00;LP19;Black;14 cm x 20 cm x 6 cm;2 Pcs
28;Hazel red anggola;374,900.00;LP19;Red Angola;14 cm x 20 cm x 6 cm;3 Pcs
29;Hazel Ebony;374,900.00;LP19;Ebony;14 cm x 20 cm x 6 cm;2 Pcs
30;Hazel Gold;374,900.00;LP19;Gold;14 cm x 20 cm x 6 cm;3 Pcs
;;;;;;
31;Ganiya Coffe;744,900.00;15235;Coffe;35 cm x 20 cm;1 Pcs
32;Ganiya Oak;744,900.00;15235;Oak;35 cm x 20 cm;2 Pcs
;;;;;;
33;Jamise Caramel;744,900.00;9113;Caramel;33 cm x 30 cm;1 Pcs
34;Jamise Oak;744,900.00;9113;Oak;33 cm x 30 cm;1 Pcs
;;;;;;
35;Hyfa Caramel;744,900.00;9115;Caramel;25 cm x 30 cm;1 Pcs
36;Hyfa Coffe;744,900.00;9115;Coffee;25 cm x 30 cm;1 Pcs
37;Hyfa Oak;744,900.00;9115;Oak;25 cm x 30 cm;1 Pcs
;;;;;;
36;Celestia Coffe;953,900.00;0;Coffe;35 cm x 26 cm;1 Pcs
37;Celestia Camel;953,900.00;0;Camel;35 cm x 26 cm;1 Pcs
;;;;;;
38;Belle Cocoa;634,900.00;F8551;Cocoa;22 cm x 32 cm;1 Pcs
39;Belle Black;634,900.00;F8551;Black;22 cm x 32 cm;1 Pcs
40;belle Brown;634,900.00;F8551;Brown;22 cm x 32 cm;1 Pcs
41;Belle Coffe;634,900.00;F8551;Coffee;22 cm x 32 cm;1 Pcs
;;;;;;
42;Elakshi Khaki;655,900.00;8537;Khaki;35 cm x 35 cm;1 Pcs
43;Elaskhi Pearl Blue;655,900.00;8537;Pearl Blue;35 cm x 35 cm;1 Pcs
44;Elaskhi Ligth grey;655,900.00;8537;Light Grey;35 cm x 35 cm;1 Pcs
45;Elaskhi Black;655,900.00;8537;Black;35 cm x 35 cm;1 Pcs
46;Elaskhi Grey;655,900.00;8537;Grey;35 cm x 35 cm;1 Pcs
;;;;;;
47;Ellen Khaki;634,900.00;8586;Khaki;30 cm x 45 cm x 13 cm (tinggi);1 Pcs
48;Ellen Black;634,900.00;8586;Black;30 cm x 45 cm x 13 cm (tinggi);1 Pcs
49;Ellen Wine;634,900.00;8586;Wine;30 cm x 45 cm x 13 cm (tinggi);1 Pcs
50;Ellen Coffee;634,900.00;8586;Coffee;30 cm x 45 cm x 13 cm (tinggi);1 Pcs
;;;;;;
51;Ifeoma Purplish Red;634,900.00;8580;Purplish Red;38 cm x 25 cm;1 Pcs
52;Ifeoma Black;634,900.00;8580;Black;38 cm x 25 cm;1 Pcs
53;Ifeoma Coffe;634,900.00;8580;Coffee;38 cm x 25 cm;1 Pcs
54;Ifeoma Gray;634,900.00;8580;Gray;38 cm x 25 cm;1 Pcs
55;Ifeoma Khaki;634,900.00;8580;Khaki;38 cm x 25 cm;1 Pcs
;;;;;;
56;Desya Black;215,900.00;8562;Black;15 cm x 23 cm x 8 cm;1 Pcs
57;Desya Gray;215,900.00;8562;Gray;15 cm x 23 cm x 8 cm;1 Pcs
58;Deasya Baby blue;215,900.00;8562;Baby Blue;15 cm x 23 cm x 8 cm;1 Pcs
59;Desya Coffe;215,900.00;8562;Coffee;15 cm x 23 cm x 8 cm;1 Pcs
60;Desya Old Green;215,900.00;8562;Old Green;15 cm x 23 cm x 8 cm;1 Pcs
;;;;;;
61;Haimi brown;324,900.00;2352;Brown;12 cm x 26 cm;1 Pcs
62;haimi Tawny;324,900.00;2352;Tawny;12 cm x 26 cm;1 Pcs
;;;;;;
63;Gina Caramel;324,900.00;8807;Caramel;13 cm x 24 cm x 6 cm;1 Pcs
64;Gina Caramel;324,900.00;8807;Coffee;13 cm x 24 cm x 6 cm;1 Pcs
;;;;;;
65;estiana;324,900.00;2893;Mocca;30 cm x 18 cm x 10 cm;1 Pcs
;;;;;;
;;;;;TOTAL;95 Pcs
